rho,epoch,K,DNN_SAE_min,Simul_SAE_min,DNN_SAE_avg,Simul_SAE_avg,DNN_SAE_max,Simul_SAE_max
0.27,1,2,0.854,0.003,0.856,0.006,0.86,0.01
0.66,1,2,1.6,0.041,1.602,0.048,1.604,0.053
0.95,1,2,1.949,0.28,1.95,0.396,1.952,0.545
