rho,epoch,K,DNN_SAE_min,Simul_SAE_min,DNN_SAE_avg,Simul_SAE_avg,DNN_SAE_max,Simul_SAE_max
0.27,1,1,0.009,0.007,0.015,0.01,0.026,0.011
0.66,1,1,0.008,0.044,0.021,0.052,0.028,0.064
0.95,1,1,0.069,0.265,0.215,0.328,0.445,0.382
