Quantity,DNN,QBD,Simul,S(2025),W(1993),rho,ServerNumber
q_0,0.582,0.572,0.57,0.572,0.585,0.27,2
E[q_w],0.019,0.025,0.025,0.027,0.03,0.27,2
E[W],0.036,0.047,0.047,0.05,0.056,0.27,2
MSE,0.0,0.0,0.0,0.0,0.0,0.27,2
q_0,0.221,0.208,0.21,0.206,0.377,0.66,2
E[q_w],0.819,1.173,1.199,1.182,0.85,0.66,2
E[W],0.62,0.889,0.908,0.895,0.644,0.66,2
MSE,0.0,0.0,0.0,0.0,0.0,0.66,2
q_0,0.027,0.025,0.03,0.026,0.462,0.95,2
E[q_w],14.714,14.509,10.904,13.758,7.689,0.95,2
E[W],7.744,7.636,5.739,7.241,4.047,0.95,2
MSE,0.0,0.0,0.0,0.0,0.0,0.95,2
