Quantity,DNN,QBD,Simul,S(2025),W(1993),rho,ServerNumber
q_0,1.0,0.73,0.729,0.73,0.748,0.27,1
E[q_w],0.0,0.098,0.1,0.102,0.088,0.27,1
E[W],0.0,0.363,0.371,0.376,0.327,0.27,1
MSE,0.0,0.0,0.0,0.0,0.0,0.27,1
q_0,1.0,0.34,0.354,0.338,0.536,0.66,1
E[q_w],0.0,0.952,0.848,0.987,0.678,0.66,1
E[W],0.0,1.442,1.285,1.495,1.027,0.66,1
MSE,0.001,0.0,0.0,0.0,0.0,0.66,1
q_0,1.0,0.05,0.036,0.057,0.5,0.95,1
E[q_w],0.0,16.649,20.342,14.744,8.754,0.95,1
E[W],0.0,17.525,21.413,15.52,9.215,0.95,1
MSE,0.002,0.0,0.0,0.0,0.0,0.95,1
